name,mean,stdev,no samples,coef var
police,2747.9,2481,11,0.9
bicycle_parking,158.8,142.7,4,0.9
car_rental,1407,860.3,4,0.6
conference_centre,8011.7,10382.3,6,1.3
courthouse,9181.7,4011.8,3,0.4
cinema,1508.5,851.9,5,0.6
fountain,478.8,444.8,5,0.9
library,2049.5,2480.5,31,1.2
school,14791,25603,174,1.7
clinic,1222.1,643.2,8,0.5
studio,5368.5,6143.7,2,1.1
pub,497.1,509.9,14,1
parking,3647.5,6186.5,611,1.7
social_facility,7117.8,16028.3,12,2.3
social_centre,592.7,410.1,4,0.7
restaurant,434.3,310.6,112,0.7
childcare,2022.1,2600.3,4,1.3
bar,376.7,157,14,0.4
car_wash,858,951,5,1.1
cafe,331.5,201.3,30,0.6
place_of_worship,1200.7,1234.5,161,1
fuel,504.3,530.4,35,1.1
training,1440.9,1882.7,3,1.3
marketplace,6507.2,4557.3,4,0.7
veterinary,415.4,144.5,5,0.3
nightclub,636.3,184.2,4,0.3
university,160441.3,284162.9,12,1.8
music_rehearsal_place,661.3,309.1,2,0.5
stripclub,998.4,193.8,2,0.2
hospital,71376.7,105847.6,13,1.5
swimming_pool,318,174.8,2,0.5
fast_food,507.7,478.7,18,0.9
dentist,339.8,234,6,0.7
public_building,5590,4727.9,5,0.8
bank,780.2,397.1,47,0.5
biergarten,214.7,232.8,2,1.1
bus_station,11757.6,14736.6,2,1.3
post_office,787.2,211.3,6,0.3
community_centre,1046.5,1489.1,12,1.4
doctors,6484.9,11359.5,4,1.8
pharmacy,1298.5,751.9,14,0.6
recycling,562.6,406.3,2,0.7
arts_centre,1350.5,1202.1,3,0.9
embassy,1353.6,768.7,4,0.6
brokerage,772.9,178.8,2,0.2
toilets,142,90.3,28,0.6
nursing_home,1930.5,942.9,3,0.5
college,63067.1,179516.8,10,2.8
swingerclub,536.5,78.3,2,0.1
theatre,3474,3824.5,26,1.1
fire_station,1049.7,540.1,27,0.5
,,,,
,,,,
,18,,,
,16,,,
,17,,,
