name,mean,stdev,category
arts_centre,110,37,3
bank,42,65,2
bar,121,38,3
cafe,76,39,2
clinic,100,29,3
clothes_store,41,37,2
community_centre,119,40,3
dentist,104,35,3
doctors,60,42,2
embassy,75,24,2
fast_food,31,15,2
grocery,20,10,1
gym,100,22,3
hookah_lounge,130,17,3
ice_cream,23,7,1
karaoke,188,15,3
laundry,78,16,3
library,83,13,2
music_school,120,30,3
nightclub,189,20,3
pharmacy,25,20,1
post_office,16,2,1
pub,135,21,3
restaurant,135,32,3
salon,141,53,3
shelter,90,0,2
shop,43,21,2
spa,161,54,3
stripclub,140,46,3
studio,60,0,2
veterinary,67,29,2
vintage_and_modern_resale,38,32,2
