Area Name;Date;Max Temp in (Fahrenheit) ;Min Temp  (Fahrenheit) ;Precipitation (inches)
San Francisco ;20060101;58;48;1299
San Francisco ;20060102;53;49;7717
San Francisco ;20060103;54;47;2008
San Francisco ;20060104;62;50;197
San Francisco ;20060105;60;49;0
San Francisco ;20060106;60;50;118
San Francisco ;20060107;57;51;1496
San Francisco ;20060108;56;45;0
San Francisco ;20060109;57;45;0
San Francisco ;20060110;55;46;0
San Francisco ;20060111;59;49;1496
San Francisco ;20060112;59;47;0
San Francisco ;20060113;63;47;512
San Francisco ;20060114;53;48;4291
San Francisco ;20060115;56;45;0
San Francisco ;20060116;57;46;0
San Francisco ;20060117;59;47;3504
San Francisco ;20060118;56;48;1417
San Francisco ;20060119;57;45;118
San Francisco ;20060120;57;43;0
San Francisco ;20060121;56;46;2402
San Francisco ;20060122;63;46;0
San Francisco ;20060123;68;47;0
San Francisco ;20060124;67;48;0
San Francisco ;20060125;58;48;394
San Francisco ;20060126;56;47;0
San Francisco ;20060127;56;46;906
San Francisco ;20060128;57;48;5118
San Francisco ;20060129;58;48;0
San Francisco ;20060130;56;50;2283
San Francisco ;20060131;56;44;0
San Francisco ;20060201;57;50;5709
San Francisco ;20060202;61;53;1811
San Francisco ;20060203;64;51;0
San Francisco ;20060204;61;50;1496
San Francisco ;20060205;65;49;0
San Francisco ;20060206;65;50;0
San Francisco ;20060207;73;50;0
San Francisco ;20060208;74;50;0
San Francisco ;20060209;73;53;0
San Francisco ;20060210;71;50;0
San Francisco ;20060211;66;49;0
San Francisco ;20060212;73;50;0
San Francisco ;20060213;73;51;0
San Francisco ;20060214;68;46;0
San Francisco ;20060215;55;43;0
San Francisco ;20060216;53;38;0
San Francisco ;20060217;48;41;787
San Francisco ;20060218;48;39;906
San Francisco ;20060219;53;41;118
San Francisco ;20060220;55;40;0
San Francisco ;20060221;60;41;0
San Francisco ;20060222;64;43;0
San Francisco ;20060223;68;46;0
San Francisco ;20060224;69;47;0
San Francisco ;20060225;55;45;0
San Francisco ;20060226;57;48;3898
San Francisco ;20060227;61;51;12205
San Francisco ;20060228;58;50;1181
San Francisco ;20060301;60;45;2283
San Francisco ;20060302;56;45;2520
San Francisco ;20060303;54;43;7520
San Francisco ;20060304;57;43;197
San Francisco ;20060305;57;51;10906
San Francisco ;20060306;59;46;7008
San Francisco ;20060307;56;47;984
San Francisco ;20060308;56;44;0
San Francisco ;20060309;53;43;1299
San Francisco ;20060310;49;40;591
San Francisco ;20060311;50;39;984
San Francisco ;20060312;48;42;2205
San Francisco ;20060313;57;40;512
San Francisco ;20060314;56;45;9016
San Francisco ;20060315;56;45;118
San Francisco ;20060316;58;49;7283
San Francisco ;20060317;56;47;906
San Francisco ;20060318;58;44;0
San Francisco ;20060319;59;46;0
San Francisco ;20060320;52;44;5394
San Francisco ;20060321;55;43;512
San Francisco ;20060322;59;47;0
San Francisco ;20060323;62;47;0
San Francisco ;20060324;61;53;6614
San Francisco ;20060325;59;48;7795
San Francisco ;20060326;61;46;0
San Francisco ;20060327;62;47;2205
San Francisco ;20060328;52;48;2402
San Francisco ;20060329;54;46;4213
San Francisco ;20060330;56;49;512
San Francisco ;20060331;57;48;3504
San Francisco ;20060401;58;48;2087
San Francisco ;20060402;57;50;7520
San Francisco ;20060403;57;48;1811
San Francisco ;20060404;57;47;7087
San Francisco ;20060405;57;45;1181
San Francisco ;20060406;58;46;0
San Francisco ;20060407;59;48;5906
San Francisco ;20060408;61;48;1299
San Francisco ;20060409;59;51;197
San Francisco ;20060410;59;51;118
San Francisco ;20060411;57;50;8898
San Francisco ;20060412;57;53;5000
San Francisco ;20060413;72;53;197
San Francisco ;20060414;60;52;0
San Francisco ;20060415;57;52;1181
San Francisco ;20060416;58;48;6614
San Francisco ;20060417;58;43;1102
San Francisco ;20060418;66;46;0
San Francisco ;20060419;66;48;0
San Francisco ;20060420;65;48;0
San Francisco ;20060421;63;49;0
San Francisco ;20060422;62;51;0
San Francisco ;20060423;60;52;0
San Francisco ;20060424;56;50;0
San Francisco ;20060425;57;50;0
San Francisco ;20060426;60;51;0
San Francisco ;20060427;67;51;0
San Francisco ;20060428;62;51;0
San Francisco ;20060429;57;50;0
San Francisco ;20060430;69;51;0
San Francisco ;20060501;68;49;0
San Francisco ;20060502;66;48;0
San Francisco ;20060503;57;50;0
San Francisco ;20060504;61;50;0
San Francisco ;20060505;56;50;0
San Francisco ;20060506;57;50;0
San Francisco ;20060507;63;50;0
San Francisco ;20060508;64;52;0
San Francisco ;20060509;65;49;0
San Francisco ;20060510;75;50;0
San Francisco ;20060511;65;50;0
San Francisco ;20060512;65;50;0
San Francisco ;20060513;60;49;0
San Francisco ;20060514;86;50;0
San Francisco ;20060515;69;54;0
San Francisco ;20060516;62;51;0
San Francisco ;20060517;58;49;0
San Francisco ;20060518;59;49;0
San Francisco ;20060519;57;50;1417
San Francisco ;20060520;67;52;0
San Francisco ;20060521;67;54;2598
