poi_osm_id,poi_name,poi_amenity,poi_street,poi_housenumber,poi_capacity,poi_description,poi_level,poi_opening_hours,poi_parking,st_astext
3833126992,,toilets,,,,,,,,POINT(-122.489586889342 37.7124393893385)
2351681766,,drinking_water,,,,,,,,POINT(-122.489419623036 37.712428800669)
1205459563,Brandeis Hillel Day School,school,,,,,,,,POINT(-122.475606139081 37.7132275658515)
1205459527,Holy Trinity Greek Orthodox Church,place_of_worship,,,,,,,,POINT(-122.48090458229 37.7133685569612)
1205459599,Lake Merced Church of Christ,place_of_worship,,,,,,,,POINT(-122.47701963818 37.7140338551401)
1205459615,Calvary Armenian Congregation,place_of_worship,,,,,,,,POINT(-122.476253824401 37.7135840937589)
2714942368,,smoking_area,,,,,,,,POINT(-122.48059484318 37.7211800685141)
2714942350,,drinking_water,,,,,0,,,POINT(-122.479610469291 37.7215075672322)
2713443862,,bicycle_parking,,,,,,,,POINT(-122.478817436558 37.7212696707156)
2726228517,,waste_basket,,,,,,,,POINT(-122.477937267243 37.7211046775216)
4904597996,,post_box,,,,,,,,POINT(-122.477144504005 37.720914387757)
2713443818,,bicycle_parking,,,,,,,,POINT(-122.47727646652 37.7211582541632)
2726290745,,waste_basket,,,,,,,,POINT(-122.477056918265 37.7214551987993)
1041072052,,post_box,,,,,,,,POINT(-122.475616200212 37.7214169705305)
2726228531,,waste_basket,,,,,,,,POINT(-122.484065843606 37.7235523230787)
2726228529,,post_box,,,,,,,,POINT(-122.484278385002 37.7237070079794)
2726228536,,waste_basket,,,,,,,,POINT(-122.483104466589 37.7227577903992)
3835242564,,drinking_water,,,,,,,,POINT(-122.483004124772 37.722837798279)
3835242565,,bicycle_parking,,,,,,,,POINT(-122.483129260091 37.7229006107991)
2716239031,,bicycle_parking,,,30,,,,,POINT(-122.482351678381 37.7220346601973)
2726228538,,waste_basket,,,,,,,,POINT(-122.481971601184 37.7229024582253)
2719518267,West Campus Green bike rack,bicycle_parking,,,,,,,,POINT(-122.481712886382 37.7222636012686)
2726290725,,waste_basket,,,,,,,,POINT(-122.481713605034 37.7226654899047)
2726228539,,waste_basket,,,,,,,,POINT(-122.481572120377 37.722846822253)
